QSFP_Port,QSFP_Lane,Quad,TX_Lane,TX_PN_Swap,RX_Lane,RX_PN_Swap,TX_Attn_Cu_0.5m,TX_Pre_Cu_0.5m,TX_Post_Cu_0.5m,TX_Attn_Cu_1m,TX_Pre_Cu_1m,TX_Post_Cu_1m,TX_Attn_Cu_2m,TX_Pre_Cu_2m,TX_Post_Cu_2m,TX_Attn_Cu_3m,TX_Pre_Cu_3m,TX_Post_Cu_3m,TX_Attn_Cu_Loop_0dB,TX_Pre_Cu_Loop_0dB,TX_Post_Cu_Loop_0dB,TX_Attn_Opt,TX_Pre_Opt,TX_Post_Opt,Repeater,Egress_Repeater,Egress_Repeater_I2C_Addr,Egress_Repeater_Lane,Ingress_Repeater,Ingress_Repeater_I2C_Addr,Ingress_Repeater_Lane,Egress_EQ_BST1_Cu_0.5m,Egress_EQ_BST2_Cu_0.5m,Egress_EQ_BW_Cu_0.5m,Egress_EQ_BST_BYPASS_Cu_0.5m,Egress_VOD_Cu_0.5m,Egress_RegF_Cu_0.5m,Egress_EQ_HG_Cu_0.5m,Ingress_EQ_BST1_Cu_0.5m,Ingress_EQ_BST2_Cu_0.5m,Ingress_EQ_BW_Cu_0.5m,Ingress_EQ_BST_BYPASS_Cu_0.5m,Ingress_VOD_Cu_0.5m,Ingress_RegF_Cu_0.5m,Ingress_EQ_HG_Cu_0.5m,Egress_EQ_BST1_Cu_1m,Egress_EQ_BST2_Cu_1m,Egress_EQ_BW_Cu_1m,Egress_EQ_BST_BYPASS_Cu_1m,Egress_VOD_Cu_1m,Egress_RegF_Cu_1m,Egress_EQ_HG_Cu_1m,Ingress_EQ_BST1_Cu_1m,Ingress_EQ_BST2_Cu_1m,Ingress_EQ_BW_Cu_1m,Ingress_EQ_BST_BYPASS_Cu_1m,Ingress_VOD_Cu_1m,Ingress_RegF_Cu_1m,Ingress_EQ_HG_Cu_1m,Egress_EQ_BST1_Cu_2m,Egress_EQ_BST2_Cu_2m,Egress_EQ_BW_Cu_2m,Egress_EQ_BST_BYPASS_Cu_2m,Egress_VOD_Cu_2m,Egress_RegF_Cu_2m,Egress_EQ_HG_Cu_2m,Ingress_EQ_BST1_Cu_2m,Ingress_EQ_BST2_Cu_2m,Ingress_EQ_BW_Cu_2m,Ingress_EQ_BST_BYPASS_Cu_2m,Ingress_VOD_Cu_2m,Ingress_RegF_Cu_2m,Ingress_EQ_HG_Cu_2m,Egress_EQ_BST1_Cu_3m,Egress_EQ_BST2_Cu_3m,Egress_EQ_BW_Cu_3m,Egress_EQ_BST_BYPASS_Cu_3m,Egress_VOD_Cu_3m,Egress_RegF_Cu_3m,Egress_EQ_HG_Cu_3m,Ingress_EQ_BST1_Cu_3m,Ingress_EQ_BST2_Cu_3m,Ingress_EQ_BW_Cu_3m,Ingress_EQ_BST_BYPASS_Cu_3m,Ingress_VOD_Cu_3m,Ingress_RegF_Cu_3m,Ingress_EQ_HG_Cu_3m,Egress_EQ_BST1_Cu_Loop_0dB,Egress_EQ_BST2_Cu_Loop_0dB,Egress_EQ_BW_Cu_Loop_0dB,Egress_EQ_BST_BYPASS_Cu_Loop_0dB,Egress_VOD_Cu_Loop_0dB,Egress_RegF_Cu_Loop_0dB,Egress_EQ_HG_Cu_Loop_0dB,Ingress_EQ_BST1_Cu_Loop_0dB,Ingress_EQ_BST2_Cu_Loop_0dB,Ingress_EQ_BW_Cu_Loop_0dB,Ingress_EQ_BST_BYPASS_Cu_Loop_0dB,Ingress_VOD_Cu_Loop_0dB,Ingress_RegF_Cu_Loop_0dB,Ingress_EQ_HG_Cu_Loop_0dB,Egress_EQ_BST1_Opt,Egress_EQ_BST2_Opt,Egress_EQ_BW_Opt,Egress_EQ_BST_BYPASS_Opt,Egress_VOD_Opt,Egress_RegF_Opt,Egress_EQ_HG_Opt,Ingress_EQ_BST1_Opt,Ingress_EQ_BST2_Opt,Ingress_EQ_BW_Opt,Ingress_EQ_BST_BYPASS_Opt,Ingress_VOD_Opt,Ingress_RegF_Opt,Ingress_EQ_HG_Opt
,2,,2,Y,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,3,N,3,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,41,2,Y,2,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0,Y,0,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,3,Y,3,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,1,Y,1,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,40,3,Y,3,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,Y,1,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,2,N,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0,N,0,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,43,2,N,2,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,0,Y,0,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,3,N,3,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,1,Y,1,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,42,0,Y,0,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,Y,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,3,Y,3,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,1,Y,1,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,39,0,N,0,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,Y,1,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,2,Y,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,3,N,3,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,38,2,N,2,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,Y,1,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0,Y,0,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,3,Y,3,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,37,0,N,0,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,Y,1,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,2,N,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,3,N,3,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,36,0,Y,0,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,N,1,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,2,N,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,3,Y,3,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,33,0,N,0,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,Y,1,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,3,N,3,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,2,N,2,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,32,0,N,0,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,3,Y,3,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,1,N,1,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,2,Y,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,35,3,N,3,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,Y,1,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,0,N,0,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,2,N,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,34,3,N,3,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,Y,1,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,2,N,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,0,N,0,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,31,0,N,0,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,Y,1,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,2,N,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,3,N,3,N,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,30,2,N,2,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,Y,1,Y,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,4,4,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
